Year,AgeRange,MarriageRate,DivorceRate
1970,under 20,9.784055870927876,3.7628399843364777
1971,under 20,9.526175039608042,4.3636967348754805
1972,under 20,8.697789394623221,3.7470349705342647
1973,under 20,8.73808869089383,3.8755913968436264
1974,under 20,10.248882876492504,4.597860630983474
1975,under 20,8.710248247815704,4.382900774714664
1976,under 20,8.72293314259533,4.612209692780571
1977,under 20,8.871665574141558,4.202752369165319
1978,under 20,8.40605295274271,4.003234288804957
1979,under 20,8.284475670828305,4.0068761058523465
1980,under 20,7.793863327576769,3.8390704625028524
1981,under 20,7.887556724442081,4.109280101434469
1982,under 20,7.4372325467937825,3.8833362670614537
1983,under 20,7.384731131947182,4.37007348627787
1984,under 20,7.828137444841493,4.551120089066638
1985,under 20,7.868717281689911,4.550078493568148
1986,under 20,6.075110592997858,4.129476363256093
1987,under 20,6.460636884705621,4.433969826980943
1988,under 20,7.070769242258866,4.526010304831025
1989,under 20,6.315390684944302,4.607500912588625
1990,under 20,5.380808908144405,4.0226433866619615
1991,under 20,5.905233399260425,4.676884434694106
1992,under 20,5.4035348565972425,4.1072757806357725
1993,under 20,5.0316256108103214,4.100249232056032
1994,under 20,5.437960335033157,4.136055655480305
1995,under 20,4.907234976972243,4.685189207512121
1996,under 20,5.168621429678851,4.594936983444792
1997,under 20,4.497993030734782,4.459013520491704
1998,under 20,4.189692954585691,4.250734252751021
1999,under 20,4.324592449828331,4.459947873275133
2000,under 20,4.005229540736516,4.7938020006462185
2001,under 20,3.719551862932512,4.724481049957822
2002,under 20,3.768777854644353,4.79147378202159
2003,under 20,3.700744972767695,4.677121684336456
2004,under 20,3.230027193318436,4.322315336203823
2005,under 20,2.7164829605036007,5.2300329862938
2006,under 20,3.0118723813705466,4.975994673457742
2007,under 20,2.118584559100647,4.092003167791272
2008,under 20,2.657604056179584,5.455453324773309
2009,under 20,1.9538481452808136,4.557109722701691
2010,under 20,2.542883641090347,5.26489224699017
2011,under 20,1.6876352139182036,5.1180161410693845
2012,under 20,2.2300741718092056,5.344670550126723
2013,under 20,1.2545357608014347,4.335205358641006
2014,under 20,0.8699582495398028,5.379235033099594
2015,under 20,0.8736366275494517,4.608433878318006
2016,under 20,0.2833956983293203,4.593997271051474
2017,under 20,0.8172484020172159,5.135166785703709
