3910005101-eng
Number of divorces and divorce indicators 1 2 3 4 5 6,,,,,,,,,,
Frequency: Occasional,,,,,,,,,,
Table: 39-10-0051-01,,,,,,,,,,
Release date: 2022-11-14,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Geography 7 8,Canada,,,,,,,,,
Indicator 9,Number of divorces,Crude divorce rate 10,Divorce rate 11,Age-standardized divorce rate 12,30-year total divorce rate 13,50-year total divorce rate 14,Mean duration of marriage 15,Median duration of marriage 15,Median duration of divorce proceedings 16,Proportion of divorce applications that are filed jointly 17
Reference period,,,,,,,,,,
,Number,"Rates per 1,000 population","Rate per 1,000 married persons",,"Rate per 1,000 marriages",,Years,,Months,Percent
1970,"29,301",1.376,..,..,203.4,230.6,15.2,13.3,8.5,..
1971,"29,886",1.361,..,..,204.6,228.5,14.5,12.4,8.5,..
1972,"32,475",1.462,..,..,217.4,241.4,14.2,11.9,8.3,..
1973,"36,903",1.641,..,..,241.9,266.4,13.9,11.5,8.5,..
1974,"45,618",2.000,..,..,292.1,322.2,13.9,11.4,8.7,..
1975,"51,078",2.207,..,..,318.3,351.2,13.7,11.1,9.0,..
1976,"54,429",2.321,..,..,330.5,363.8,13.5,10.8,9.3,..
1977,"55,620",2.344,..,..,329.6,361.7,13.2,10.5,9.0,..
1978,"57,630",2.405,..,..,335.1,365.4,12.9,10.2,9.0,..
1979,"59,931",2.476,..,..,341.1,370.6,12.7,10.0,8.9,..
1980,"62,577",2.553,..,..,351.0,379.7,12.5,9.9,8.7,..
1981,"68,352",2.754,..,..,378.4,410.1,12.6,10.0,9.2,..
1982,"71,409",2.843,..,..,392.3,421.9,12.5,10.1,8.8,..
1983,"69,480",2.739,..,..,378.2,405.9,12.5,10.2,8.5,..
1984,"66,030",2.579,..,..,356.4,384.2,12.9,10.6,8.5,..
1985,"63,021",2.439,..,..,337.3,364.0,13.0,10.9,8.3,..
1986,"77,940",2.986,..,..,413.9,447.4,12.9,10.7,7.3,1
1987,"97,773",3.697,..,..,516.5,556.5,12.9,10.8,5.5,4
1988,"84,810",3.166,..,..,445.9,481.1,12.9,10.8,5.0,5
1989,"82,404",3.021,..,..,430.8,464.6,12.9,10.8,5.0,5
1990,"81,195",2.932,..,..,422.8,455.8,12.9,10.8,5.1,7
1991,"78,954",2.816,12.7,12.7,408.2,440.6,12.9,10.8,5.3,7
1992,"81,255",2.864,13.0,13.1,418.4,450.7,12.9,10.7,5.3,8
1993,"80,103",2.793,12.8,13.1,412.9,443.6,12.8,10.7,5.4,9
1994,"80,814",2.787,12.9,13.3,417.2,449.0,12.9,10.6,5.4,10
1995,"79,602",2.717,12.6,13.2,412.4,444.7,13.2,10.9,5.4,11
1996,"73,314",2.476,11.6,12.3,380.1,412.5,13.5,11.2,5.4,12
1997,"69,060",2.309,10.9,11.5,358.6,390.5,13.9,11.6,5.2,13
1998,"69,891",2.318,10.9,11.8,366.7,397.6,13.7,11.4,5.2,14
1999,"71,763",2.361,11.2,12.2,379.3,411.3,13.9,11.7,5.1,15
