REF_DATE,GEO,DGUID,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1970,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,29301,,,,0
1971,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,29886,,,,0
1972,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,32475,,,,0
1973,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,36903,,,,0
1974,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,45618,,,,0
1975,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,51078,,,,0
1976,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,54429,,,,0
1977,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,55620,,,,0
1978,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,57630,,,,0
1979,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,59931,,,,0
1980,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,62577,,,,0
1981,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,68352,,,,0
1982,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71409,,,,0
1983,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,69480,,,,0
1984,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,66030,,,,0
1985,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,63021,,,,0
1986,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,77940,,,,0
1987,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,97773,,,,0
1988,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,84810,,,,0
1989,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,82404,,,,0
1990,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,81195,,,,0
1991,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,78954,,,,0
1992,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,81255,,,,0
1993,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,80103,,,,0
1994,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,80814,,,,0
1995,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,79602,,,,0
1996,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,73314,,,,0
1997,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,69060,,,,0
1998,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,69891,,,,0
1999,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71763,,,,0
2000,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,73005,,,,0
2001,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71880,,,,0
2002,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71199,,,,0
2003,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71466,,,,0
2004,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,70179,,,,0
2005,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71985,,,,0
2006,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,75213,,,,0
2007,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,73359,,,,0
2008,Canada,2016A000011124,Number of divorces,Number,223,units,0,v1331258926,1.1,71031,,,,0
