REF_DATE,GEO,DGUID,Legal marital status prior to marriage,Gender,Age at marriage,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,344502,,,,0
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,329145,,,,0
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,318633,,,,0
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,319917,,,,0
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,320502,,,,0
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,313383,,,,0
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,306612,,,,0
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,305643,,,,0
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,311484,,,,0
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,314790,,,,0
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,293238,,,,0
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,293478,,,,0
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,294783,,,,0
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,292482,,,,0
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,295815,,,,0
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,301008,,,,0
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,297915,,,,0
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,294576,,,,0
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,292824,,,,0
