year,divorce_num,divorce_crude,divorce_rate,divorce_age,divorce_30,divorce_50,divorce_marriage_mean,divorce_marriage_median,divorce_proceeding,divorce_application
1970,29301,1.376,NA,NA,203.4,230.6,15.2,13.3,8.5,NA
1971,29886,1.361,NA,NA,204.6,228.5,14.5,12.4,8.5,NA
1972,32475,1.462,NA,NA,217.4,241.4,14.2,11.9,8.3,NA
1973,36903,1.641,NA,NA,241.9,266.4,13.9,11.5,8.5,NA
1974,45618,2,NA,NA,292.1,322.2,13.9,11.4,8.7,NA
1975,51078,2.207,NA,NA,318.3,351.2,13.7,11.1,9,NA
1976,54429,2.321,NA,NA,330.5,363.8,13.5,10.8,9.3,NA
1977,55620,2.344,NA,NA,329.6,361.7,13.2,10.5,9,NA
1978,57630,2.405,NA,NA,335.1,365.4,12.9,10.2,9,NA
1979,59931,2.476,NA,NA,341.1,370.6,12.7,10,8.9,NA
1980,62577,2.553,NA,NA,351,379.7,12.5,9.9,8.7,NA
1981,68352,2.754,NA,NA,378.4,410.1,12.6,10,9.2,NA
1982,71409,2.843,NA,NA,392.3,421.9,12.5,10.1,8.8,NA
1983,69480,2.739,NA,NA,378.2,405.9,12.5,10.2,8.5,NA
1984,66030,2.579,NA,NA,356.4,384.2,12.9,10.6,8.5,NA
1985,63021,2.439,NA,NA,337.3,364,13,10.9,8.3,NA
1986,77940,2.986,NA,NA,413.9,447.4,12.9,10.7,7.3,1
1987,97773,3.697,NA,NA,516.5,556.5,12.9,10.8,5.5,4
1988,84810,3.166,NA,NA,445.9,481.1,12.9,10.8,5,5
1989,82404,3.021,NA,NA,430.8,464.6,12.9,10.8,5,5
1990,81195,2.932,NA,NA,422.8,455.8,12.9,10.8,5.1,7
1991,78954,2.816,12.7,12.7,408.2,440.6,12.9,10.8,5.3,7
1992,81255,2.864,13,13.1,418.4,450.7,12.9,10.7,5.3,8
1993,80103,2.793,12.8,13.1,412.9,443.6,12.8,10.7,5.4,9
1994,80814,2.787,12.9,13.3,417.2,449,12.9,10.6,5.4,10
1995,79602,2.717,12.6,13.2,412.4,444.7,13.2,10.9,5.4,11
1996,73314,2.476,11.6,12.3,380.1,412.5,13.5,11.2,5.4,12
1997,69060,2.309,10.9,11.5,358.6,390.5,13.9,11.6,5.2,13
1998,69891,2.318,10.9,11.8,366.7,397.6,13.7,11.4,5.2,14
1999,71763,2.361,11.2,12.2,379.3,411.3,13.9,11.7,5.1,15
2000,73005,2.379,11.3,12.4,388.7,421.5,14.1,11.9,5.1,16
2001,71880,2.317,11.1,12.3,384.8,417.3,14.1,12,5.1,18
2002,71199,2.27,10.9,12.2,383.8,416.4,14.2,12.2,5.3,18
2003,71466,2.258,10.9,12.3,388.7,421.1,14.3,12.2,5.4,19
2004,70179,2.197,10.6,12,383.9,416.6,14.5,12.5,5.4,19
2005,71985,2.233,10.8,12.4,396.3,431,14.5,12.4,5.4,21
2006,75213,2.309,11.2,13,419.3,454.8,14.5,12.2,5.1,21
2007,73359,2.231,10.9,12.8,412.3,446.6,14.5,12.3,5,21
2008,71031,2.136,10.4,12.4,402.5,435.7,14.5,12.3,5.1,21
2009,69570,2.069,10.1,12.1,396.8,429.2,14.5,12.2,5.1,21
2010,69684,2.049,10.1,12.1,399.5,432.4,14.6,12.3,5.1,20
2011,68556,1.996,9.9,11.9,394.7,427.7,14.8,12.5,5.4,21
2012,68511,1.974,9.8,11.8,397.5,430.4,14.9,12.5,5.1,22
2013,65802,1.876,9.3,11.2,382,415.4,15.1,12.9,5.1,23
2014,62709,1.77,8.8,10.7,366.4,398.1,15.2,13,5.2,24
2015,60963,1.708,8.5,10.2,356.5,388.2,15.4,13.2,5.2,24
2016,62397,1.728,8.6,10.4,366,399.4,15.6,13.4,5.4,25
2017,62256,1.704,8.5,10.3,366.1,400.1,15.6,13.3,5.1,29
2018,61344,1.655,8.2,10,362.2,396.3,15.6,13.2,4.8,29
2019,56937,1.514,7.5,9.1,338,369.4,15.5,13.2,4.9,30
2020,42933,1.129,5.6,6.8,256.3,279.7,15.3,12.8,5.8,31
