year,total_married,total_mRate,20_under_married,20_under_mRate,20_24_married,20_24_mRate,25_29_married,25_29_mRate,30_34_married,30_34_mRate,35_39_married,35_39_mRate,40_44_married,40_44_mRate,45_49_married,45_49_mRate,50_54_married,50_54_mRate,55_59_married,55_59_mRate,60_64_married,60_64_mRate,65_69_married,65_69_mRate,70_74_married,70_74_mRate,75_79_married,75_79_mRate,80_over_married,80_over_mRate
1991,344502,35.2,9921,5.2,91575,51.2,113598,83.1,56820,60.9,28188,43.5,16809,33.1,10110,27.3,6036,21.4,4026,15,2901,9.7,2103,6.4,1383,4.3,666,2.2,372,0.8
1992,329145,32.9,8655,4.5,82902,46.3,106566,78.3,57723,59.1,28284,40.7,16614,31.1,10695,26,6282,20.7,3843,14.1,2850,9.4,2085,6.3,1482,4.5,777,2.5,387,0.8
1993,318633,31.1,7683,4,77157,43.2,101775,75.7,58188,56.9,28782,38.7,16743,29.6,10815,24.1,6246,19,3906,13.9,2718,8.9,2061,6.2,1449,4.2,690,2.2,417,0.8
1994,319917,30.6,7680,3.9,75606,42.3,100956,75.7,59070,55.6,29808,37.8,17106,28.3,11496,23.6,6726,19,3966,13.6,2790,9.1,2103,6.3,1479,4.2,717,2.3,414,0.8
1995,320502,29.9,7242,3.7,72516,40.5,99654,74.7,60765,55.5,31206,37.4,17856,27.6,12372,23.6,7269,19.1,4110,13.5,2808,9.1,2073,6.2,1461,4.1,759,2.4,408,0.8
1996,313383,28.5,6501,3.2,66435,36.8,97407,72,59238,53.7,32211,36.6,18747,27.2,12771,22.9,7692,18.8,4443,13.9,2946,9.5,2148,6.4,1536,4.2,852,2.6,456,0.8
1997,306612,27.3,6042,3,63147,34.7,95412,70.2,57402,52.7,32259,35.3,18993,26,12696,21.8,8283,18.4,4638,13.7,2847,9.1,2163,6.4,1515,4.2,780,2.3,435,0.8
1998,305643,26.8,5640,2.8,61041,33.3,95298,69.9,56544,53.1,33012,34.9,19770,25.7,12864,21.1,8475,17.4,4962,13.7,3036,9.6,2190,6.4,1485,4.1,870,2.4,456,0.8
1999,311484,26.7,5424,2.6,60138,32.2,96627,70.5,57759,55.3,34563,35.4,20892,25.9,13845,21.6,9048,17.3,5268,13.6,3066,9.4,2079,6.1,1437,3.9,870,2.4,468,0.8
2000,314790,26.4,5154,2.5,57351,30.1,95457,68.8,58770,56.7,35946,36.1,22278,26.5,15075,22.2,10509,18.8,5796,14.1,3381,10.1,2160,6.3,1434,3.9,981,2.6,495,0.8
2001,293238,24,4632,2.2,52314,26.8,88977,63,55404,52.9,32733,32.8,20784,23.6,14325,20,10029,16.9,5763,13.1,3240,9.3,2172,6.4,1470,4,858,2.3,537,0.9
2002,293478,23.6,4404,2.1,50871,25.6,88845,61.7,56415,53.5,32952,33.4,21045,23,14526,19.2,10029,16.3,6069,12.6,3351,9.1,2169,6.4,1401,3.8,882,2.3,519,0.8
