3910005701-eng
"Number of persons who married in a given year and marriage rate per 1,000 unmarried persons, by age group and legal marital status 1 2 3 4 5 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Occasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 39-10-0057-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography 7 8 9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal marital status prior to marriage 10,Total – Legally unmarried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender 11,Total – Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age at marriage 12,Total – Age,,Under 20 years,,20 to 24 years,,25 to 29 years,,30 to 34 years,,35 to 39 years,,40 to 44 years,,45 to 49 years,,50 to 54 years,,55 to 59 years,,60 to 64 years,,65 to 69 years,,70 to 74 years,,75 to 79 years,,80 years and over,
Indicator 13,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14,Number of persons who married,Marriage rate 14
Reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status",Number,"Rate per 1,000 persons of the same marital status"
1991,"344,502",35.2,"9,921",5.2,"91,575",51.2,"113,598",83.1,"56,820",60.9,"28,188",43.5,"16,809",33.1,"10,110",27.3,"6,036",21.4,"4,026",15.0,"2,901",9.7,"2,103",6.4,"1,383",4.3,666,2.2,372,0.8
1992,"329,145",32.9,"8,655",4.5,"82,902",46.3,"106,566",78.3,"57,723",59.1,"28,284",40.7,"16,614",31.1,"10,695",26.0,"6,282",20.7,"3,843",14.1,"2,850",9.4,"2,085",6.3,"1,482",4.5,777,2.5,387,0.8
1993,"318,633",31.1,"7,683",4.0,"77,157",43.2,"101,775",75.7,"58,188",56.9,"28,782",38.7,"16,743",29.6,"10,815",24.1,"6,246",19.0,"3,906",13.9,"2,718",8.9,"2,061",6.2,"1,449",4.2,690,2.2,417,0.8
1994,"319,917",30.6,"7,680",3.9,"75,606",42.3,"100,956",75.7,"59,070",55.6,"29,808",37.8,"17,106",28.3,"11,496",23.6,"6,726",19.0,"3,966",13.6,"2,790",9.1,"2,103",6.3,"1,479",4.2,717,2.3,414,0.8
1995,"320,502",29.9,"7,242",3.7,"72,516",40.5,"99,654",74.7,"60,765",55.5,"31,206",37.4,"17,856",27.6,"12,372",23.6,"7,269",19.1,"4,110",13.5,"2,808",9.1,"2,073",6.2,"1,461",4.1,759,2.4,408,0.8
1996,"313,383",28.5,"6,501",3.2,"66,435",36.8,"97,407",72.0,"59,238",53.7,"32,211",36.6,"18,747",27.2,"12,771",22.9,"7,692",18.8,"4,443",13.9,"2,946",9.5,"2,148",6.4,"1,536",4.2,852,2.6,456,0.8
1997,"306,612",27.3,"6,042",3.0,"63,147",34.7,"95,412",70.2,"57,402",52.7,"32,259",35.3,"18,993",26.0,"12,696",21.8,"8,283",18.4,"4,638",13.7,"2,847",9.1,"2,163",6.4,"1,515",4.2,780,2.3,435,0.8
